Date,Open,High,Low,Close,Vol
15/10/2013 00:00,0.91126,0.91779,0.90925,0.91366,124002
16/10/2013 00:00,0.91365,0.91752,0.90977,0.91426,137110
17/10/2013 00:00,0.91427,0.9146,0.90077,0.90316,134730
18/10/2013 00:00,0.90316,0.90366,0.9004,0.90148,85108
20/10/2013 00:00,0.90164,0.90232,0.90158,0.90219,5378
21/10/2013 00:00,0.90215,0.90447,0.90056,0.90256,81426
22/10/2013 00:00,0.90256,0.90392,0.89398,0.895,104431
23/10/2013 00:00,0.895,0.89656,0.89108,0.89239,104500
24/10/2013 00:00,0.89238,0.89279,0.889,0.8923,113932
25/10/2013 00:00,0.8923,0.8965,0.88925,0.89228,123325
27/10/2013 00:00,0.8924,0.89296,0.89204,0.89264,4128
28/10/2013 00:00,0.89263,0.89626,0.89224,0.89558,98070
29/10/2013 00:00,0.89559,0.90024,0.89435,0.89952,113560
30/10/2013 00:00,0.89952,0.90238,0.895,0.9003,132162
31/10/2013 00:00,0.90031,0.90756,0.89895,0.90733,140547
01/11/2013 00:00,0.90735,0.91377,0.90703,0.91199,130415
03/11/2013 00:00,0.91169,0.91265,0.91169,0.91247,3200
04/11/2013 00:00,0.91248,0.91516,0.90909,0.90985,76057
05/11/2013 00:00,0.90987,0.91472,0.90942,0.91364,100251
06/11/2013 00:00,0.91364,0.91389,0.90979,0.91188,99449
07/11/2013 00:00,0.91188,0.92496,0.91087,0.91666,166545
08/11/2013 00:00,0.91666,0.92465,0.9152,0.92096,188058
10/11/2013 00:00,0.92267,0.92313,0.92184,0.92297,5160
11/11/2013 00:00,0.92297,0.92297,0.91889,0.91941,110484
12/11/2013 00:00,0.91941,0.9226,0.91548,0.91728,175076
13/11/2013 00:00,0.91728,0.92004,0.91232,0.91381,159000
14/11/2013 00:00,0.91381,0.91882,0.91313,0.91802,175200
15/11/2013 00:00,0.91802,0.91912,0.91299,0.91463,118284
17/11/2013 00:00,0.91443,0.91571,0.9143,0.91549,3164
18/11/2013 00:00,0.91549,0.91614,0.9095,0.9129,109109
19/11/2013 00:00,0.9129,0.91442,0.90781,0.90878,130393
20/11/2013 00:00,0.90879,0.91905,0.90875,0.91722,149189
21/11/2013 00:00,0.91722,0.91883,0.91256,0.91409,161338
22/11/2013 00:00,0.91407,0.91498,0.90641,0.90641,105271
24/11/2013 00:00,0.90712,0.90735,0.9061,0.90702,4469
25/11/2013 00:00,0.90702,0.91311,0.90683,0.9107,109782
26/11/2013 00:00,0.91073,0.91128,0.90614,0.9069,125660
27/11/2013 00:00,0.9069,0.90922,0.90405,0.90822,135294
28/11/2013 00:00,0.90822,0.90859,0.90412,0.90599,89657
29/11/2013 00:00,0.90599,0.9071,0.9028,0.90596,120177
01/12/2013 00:00,0.90591,0.90653,0.90558,0.90639,3568
02/12/2013 00:00,0.90639,0.91099,0.9043,0.9087,138171
03/12/2013 00:00,0.9087,0.91003,0.90204,0.90401,144125
04/12/2013 00:00,0.90402,0.9076,0.9013,0.90238,188629
05/12/2013 00:00,0.90238,0.90495,0.89568,0.89661,156582
06/12/2013 00:00,0.8966,0.89839,0.8912,0.89137,124281
08/12/2013 00:00,0.8918,0.89249,0.89092,0.89232,2642
09/12/2013 00:00,0.89231,0.8934,0.88948,0.89021,69991
10/12/2013 00:00,0.89021,0.89067,0.88501,0.88717,80866
11/12/2013 00:00,0.88717,0.88862,0.88398,0.88685,87657
12/12/2013 00:00,0.88685,0.8909,0.88479,0.88986,111231
13/12/2013 00:00,0.88986,0.89173,0.88811,0.88936,82899
15/12/2013 00:00,0.89017,0.89052,0.88904,0.89024,2239
16/12/2013 00:00,0.89024,0.89028,0.88464,0.88715,78688
17/12/2013 00:00,0.88715,0.8895,0.8832,0.88494,77472
18/12/2013 00:00,0.88492,0.89584,0.88398,0.89436,118451
19/12/2013 00:00,0.89435,0.89873,0.89344,0.89819,97918
20/12/2013 00:00,0.89819,0.90009,0.89318,0.89565,104336
22/12/2013 00:00,0.8956,0.89644,0.89538,0.89551,2105
23/12/2013 00:00,0.8955,0.89672,0.892,0.89358,77550
24/12/2013 00:00,0.89358,0.89718,0.89355,0.89561,74002
25/12/2013 00:00,0.89562,0.89693,0.89498,0.89597,2657
26/12/2013 00:00,0.89597,0.8969,0.89492,0.89622,79242
27/12/2013 00:00,0.89621,0.89639,0.87994,0.89106,128996
29/12/2013 00:00,0.89063,0.89169,0.88962,0.8914,2899
30/12/2013 00:00,0.8914,0.89313,0.88595,0.88722,106624
31/12/2013 00:00,0.88722,0.89302,0.8866,0.89273,76254
01/01/2014 00:00,0.89129,0.89262,0.89103,0.89145,2365
02/01/2014 00:00,0.89149,0.90285,0.89079,0.89922,150609
03/01/2014 00:00,0.89922,0.90574,0.89888,0.90469,135033
05/01/2014 00:00,0.9048,0.90546,0.90421,0.90527,2310
06/01/2014 00:00,0.90526,0.907,0.90196,0.90385,120761
07/01/2014 00:00,0.90385,0.90987,0.9037,0.90933,122773
08/01/2014 00:00,0.90933,0.91267,0.90763,0.91158,140036
09/01/2014 00:00,0.91158,0.91238,0.90627,0.90687,128759
10/01/2014 00:00,0.90693,0.90902,0.90046,0.9021,113803
12/01/2014 00:00,0.90115,0.90244,0.90115,0.90208,2359
13/01/2014 00:00,0.90208,0.90477,0.89861,0.89931,100258
14/01/2014 00:00,0.89931,0.9032,0.89864,0.90314,105808
15/01/2014 00:00,0.90316,0.91079,0.90269,0.9091,123257
16/01/2014 00:00,0.90911,0.91034,0.90315,0.905,132629
17/01/2014 00:00,0.905,0.91197,0.90436,0.90981,95794
19/01/2014 00:00,0.91009,0.91158,0.91008,0.91147,2863
20/01/2014 00:00,0.91147,0.9132,0.90891,0.91089,79944
21/01/2014 00:00,0.91089,0.91562,0.90842,0.91072,95021
22/01/2014 00:00,0.91072,0.91243,0.90884,0.91226,76576
23/01/2014 00:00,0.91226,0.91337,0.89635,0.89806,108381
24/01/2014 00:00,0.89806,0.89911,0.8903,0.89369,102976
26/01/2014 00:00,0.89499,0.89508,0.89332,0.89385,2655
27/01/2014 00:00,0.89385,0.89845,0.89318,0.8964,87744
28/01/2014 00:00,0.8964,0.90099,0.89545,0.89965,81514
29/01/2014 00:00,0.89965,0.90094,0.89353,0.89509,107167
30/01/2014 00:00,0.89504,0.90477,0.89446,0.90257,101309
31/01/2014 00:00,0.90257,0.90795,0.90078,0.90582,104160
02/02/2014 00:00,0.90638,0.90673,0.90622,0.90651,2138
03/02/2014 00:00,0.90651,0.90813,0.90037,0.90129,93654
04/02/2014 00:00,0.90128,0.90616,0.9009,0.90402,81469
05/02/2014 00:00,0.90405,0.90568,0.90035,0.90401,84841
06/02/2014 00:00,0.90399,0.90633,0.89681,0.90075,85760
07/02/2014 00:00,0.90075,0.90219,0.89585,0.8979,74484
09/02/2014 00:00,0.89854,0.89912,0.89805,0.8988,2496
10/02/2014 00:00,0.8988,0.89936,0.89592,0.8967,61580
11/02/2014 00:00,0.8967,0.89877,0.89394,0.89839,79575
12/02/2014 00:00,0.89839,0.90381,0.89679,0.90077,80248
13/02/2014 00:00,0.90076,0.90094,0.89182,0.89351,91928
14/02/2014 00:00,0.89351,0.89408,0.89033,0.89215,71169
16/02/2014 00:00,0.89122,0.89196,0.89121,0.89141,2136
17/02/2014 00:00,0.89143,0.89259,0.89001,0.89172,57095
18/02/2014 00:00,0.89173,0.89284,0.88692,0.88782,83564
19/02/2014 00:00,0.88782,0.88952,0.8856,0.88893,74873
20/02/2014 00:00,0.88893,0.89145,0.88589,0.88937,68885
21/02/2014 00:00,0.88937,0.8911,0.88676,0.88739,59690
23/02/2014 00:00,0.88713,0.88773,0.8869,0.8874,1856
24/02/2014 00:00,0.88738,0.89104,0.88521,0.8887,60404
